filename,max_idx
DR1_FCJF0_SA1.wav,184
DR1_FCJF0_SA2.wav,136
DR1_FCJF0_SI1027.wav,195
DR1_FCJF0_SI1657.wav,179
DR1_FCJF0_SI648.wav,227
DR1_FCJF0_SX127.wav,98
DR1_FCJF0_SX217.wav,110
DR1_FCJF0_SX307.wav,92
DR1_FCJF0_SX37.wav,143
DR1_FCJF0_SX397.wav,155
DR1_FDAW0_SA1.wav,211
DR1_FDAW0_SA2.wav,169
DR1_FDAW0_SI1271.wav,305
DR1_FDAW0_SI1406.wav,160
DR1_FDAW0_SI2036.wav,301
DR1_FDAW0_SX146.wav,166
DR1_FDAW0_SX236.wav,158
DR1_FDAW0_SX326.wav,181
DR1_FDAW0_SX416.wav,165
DR1_FDAW0_SX56.wav,191
DR1_FDML0_SA1.wav,206
DR1_FDML0_SA2.wav,161
DR1_FDML0_SI1149.wav,228
DR1_FDML0_SI1779.wav,160
DR1_FDML0_SI2075.wav,101
DR1_FDML0_SX159.wav,181
DR1_FDML0_SX249.wav,126
DR1_FDML0_SX339.wav,161
DR1_FDML0_SX429.wav,174
DR1_FDML0_SX69.wav,162
DR1_FECD0_SA1.wav,274
DR1_FECD0_SA2.wav,192
DR1_FECD0_SI1418.wav,350
DR1_FECD0_SI2048.wav,164
DR1_FECD0_SI788.wav,324
DR1_FECD0_SX158.wav,162
DR1_FECD0_SX248.wav,192
DR1_FECD0_SX338.wav,209
DR1_FECD0_SX428.wav,231
DR1_FECD0_SX68.wav,186
DR1_FETB0_SA1.wav,202
DR1_FETB0_SA2.wav,171
DR1_FETB0_SI1148.wav,162
DR1_FETB0_SI1778.wav,222
DR1_FETB0_SI518.wav,219
DR1_FETB0_SX158.wav,141
DR1_FETB0_SX248.wav,166
DR1_FETB0_SX338.wav,201
DR1_FETB0_SX428.wav,216
DR1_FETB0_SX68.wav,169
DR1_FJSP0_SA1.wav,225
DR1_FJSP0_SA2.wav,169
DR1_FJSP0_SI1434.wav,275
DR1_FJSP0_SI1763.wav,79
DR1_FJSP0_SI804.wav,158
DR1_FJSP0_SX174.wav,240
DR1_FJSP0_SX264.wav,182
DR1_FJSP0_SX354.wav,173
DR1_FJSP0_SX444.wav,182
DR1_FJSP0_SX84.wav,218
DR1_FKFB0_SA1.wav,218
DR1_FKFB0_SA2.wav,196
DR1_FKFB0_SI1608.wav,300
DR1_FKFB0_SI2238.wav,139
DR1_FKFB0_SI978.wav,224
DR1_FKFB0_SX168.wav,148
DR1_FKFB0_SX258.wav,216
DR1_FKFB0_SX348.wav,233
DR1_FKFB0_SX438.wav,400
DR1_FKFB0_SX78.wav,156
DR1_FMEM0_SA1.wav,257
DR1_FMEM0_SA2.wav,193
DR1_FMEM0_SI1377.wav,243
DR1_FMEM0_SI2007.wav,223
DR1_FMEM0_SI747.wav,191
DR1_FMEM0_SX117.wav,203
DR1_FMEM0_SX207.wav,131
DR1_FMEM0_SX297.wav,170
DR1_FMEM0_SX333.wav,323
DR1_FMEM0_SX387.wav,239
DR1_FSAH0_SA1.wav,227
DR1_FSAH0_SA2.wav,166
DR1_FSAH0_SI1244.wav,223
DR1_FSAH0_SI1874.wav,163
DR1_FSAH0_SI614.wav,294
DR1_FSAH0_SX164.wav,185
DR1_FSAH0_SX327.wav,314
DR1_FSAH0_SX344.wav,130
DR1_FSAH0_SX434.wav,166
DR1_FSAH0_SX74.wav,167
DR1_FSJK1_SA1.wav,205
DR1_FSJK1_SA2.wav,182
DR1_FSJK1_SI1025.wav,197
DR1_FSJK1_SI2285.wav,126
DR1_FSJK1_SI696.wav,222
DR1_FSJK1_SX125.wav,143
DR1_FSJK1_SX215.wav,189
DR1_FSJK1_SX305.wav,156
DR1_FSJK1_SX35.wav,148
DR1_FSJK1_SX395.wav,170
DR1_FSMA0_SA1.wav,225
DR1_FSMA0_SA2.wav,163
DR1_FSMA0_SI1621.wav,100
DR1_FSMA0_SI2251.wav,203
DR1_FSMA0_SI991.wav,282
DR1_FSMA0_SX181.wav,225
DR1_FSMA0_SX271.wav,176
DR1_FSMA0_SX361.wav,166
DR1_FSMA0_SX451.wav,302
DR1_FSMA0_SX91.wav,172
DR1_FTBR0_SA1.wav,217
DR1_FTBR0_SA2.wav,177
DR1_FTBR0_SI1402.wav,283
DR1_FTBR0_SI2181.wav,155
DR1_FTBR0_SI921.wav,262
DR1_FTBR0_SX111.wav,158
DR1_FTBR0_SX201.wav,188
DR1_FTBR0_SX21.wav,137
DR1_FTBR0_SX291.wav,155
DR1_FTBR0_SX381.wav,157
DR1_FVFB0_SA1.wav,175
DR1_FVFB0_SA2.wav,149
DR1_FVFB0_SI1032.wav,178
DR1_FVFB0_SI1510.wav,254
DR1_FVFB0_SI2292.wav,111
DR1_FVFB0_SX132.wav,157
DR1_FVFB0_SX222.wav,160
DR1_FVFB0_SX312.wav,239
DR1_FVFB0_SX402.wav,144
DR1_FVFB0_SX42.wav,121
DR1_FVMH0_SA1.wav,215
DR1_FVMH0_SA2.wav,158
DR1_FVMH0_SI1466.wav,265
DR1_FVMH0_SI2096.wav,173
DR1_FVMH0_SI836.wav,270
DR1_FVMH0_SX116.wav,127
DR1_FVMH0_SX206.wav,189
